application_date,company,job_title,platform,response_date,response_status
2026-04-10,Scalestack,N/A,LinkedIn,,No Response
2026-03-12,Scopic,Talent Community - MLOps Engineer,Direct Email,,Received
,Siemens,AI / Data Engineer (493926),Other,2026/04/13,Rejected
2026-03-11,Solvo Global,Especialista en IA,LinkedIn,,Received
2026-03-11,Solvo Global,N/A,LinkedIn,,No Response
2026-03-26,Spazios,Desarrollador IA,LinkedIn,2026-04-16,Rejected
2026-04-20,TCS,AI/ML Engineer,LinkedIn,,No Response
2026-03-11,Talently,AI Engineer,LinkedIn,,Received
2026-03-11,Talently,N/A,LinkedIn,,No Response
2026-03-10,Tata Consultancy Services,AI ENGINEER- PYTHON,LinkedIn,,Received
2026-01-16,The Walt Disney Company,"Analyst, Data Science",Direct Email,2026/01/16,Rejected
2026-04-20,ThinkBig HR,AI/ML Engineer,LinkedIn,,No Response
2026-03-20,ThinkBig HR,Científico de datos IA,Hiring Room,2026/03/20,Received
2026-04-13,Tort Experts,Jr. AI Automation Engineer,Other,2026/04/14,Technical Test
2026-02-27,Turing / Crossing Hurdles,LLM - Business Analyst,Direct Email,,Received
2026-04-10,UADE,Facultad de Ingeniería y Ciencias Exactas,LinkedIn,,Received
2026-04-10,UADE,N/A,LinkedIn,,No Response
2026-03-02,Ualá,Generative AI Engineer,LinkedIn,,Received
2026-04-23,Unknown (Hiring Room),Postulación recibida,Hiring Room,,Received
2026-04-20,Vicente Lopez,AI/ML Engineer,LinkedIn,,No Response
2026-04-20,Waves,AI/ML Engineer,LinkedIn,,No Response
2026-04-21,Waves,Innovation & Technology Specialist,Hiring Room,,Received
2026-04-21,We Are Pipol,Customer Success Manager & AI Specialist,LinkedIn,,Received
2026-04-21,We Are Pipol,N/A,LinkedIn,,No Response
2026-02-05,Xometry,Machine Learning Engineer II,LinkedIn,,Received
2026-02-05,Xometry,N/A,LinkedIn,,No Response
2026-03-13,Yumatech,Data Analyst,LinkedIn,,Received
2026-04-20,hiberus,IA Engineer,LinkedIn,,Received
2026-04-20,hiberus,N/A,LinkedIn,,No Response
2026-01-11,micro1,AI Engineer/Data Science Associate,Direct Email,2026/01/11,Interview
2026-03-02,micro1,AI Interview,Direct Email,2026-03-07,Interview
2026-02-27,micro1,Statistical Consultant,Direct Email,2026/02/27,Interview
